what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1296815401983
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1296815404886
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296815405805
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296815406146
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296815408543
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296815410850
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296815410850
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296815412265
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296815412305
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1296815414182
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1296815417909
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296815419249
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296815420770
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296815424140
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296815467538
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296815474959
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296815480362
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296815496766
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296815532480
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296815536961
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296815537623
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296815537896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296815569643
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296815570803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296816049167
